epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.234,1.31388,2.24304,1.15445,0.66327,0.32446,0.35782,0.23597,1.21694,1.38574,1.17358,0.00333162,0.00333162,0.00333162
2,932.602,1.27372,1.52817,1.13697,0.61584,0.48172,0.49743,0.31208,1.26441,1.33488,1.21921,0.00640102,0.00640102,0.00640102
3,1381.04,1.30983,1.46888,1.16305,0.62237,0.43487,0.48421,0.30541,1.2991,1.33876,1.24186,0.00920643,0.00920643,0.00920643
4,1818.57,1.29055,1.30744,1.16092,0.67354,0.50439,0.54026,0.34479,1.2241,1.1756,1.19986,0.008812,0.008812,0.008812
5,2258.49,1.22482,1.133,1.12752,0.66073,0.52163,0.54469,0.35963,1.18055,1.08721,1.17076,0.008416,0.008416,0.008416
6,2700.62,1.18455,1.04043,1.1065,0.67703,0.56688,0.60128,0.40717,1.13992,0.95209,1.14406,0.00802,0.00802,0.00802
7,3136.91,1.15087,0.97918,1.09073,0.62699,0.64197,0.65737,0.45362,1.1017,0.88225,1.11858,0.007624,0.007624,0.007624
8,3564.93,1.12775,0.93502,1.08034,0.69916,0.6626,0.70074,0.48386,1.08614,0.85783,1.11289,0.007228,0.007228,0.007228
9,3992,1.10919,0.90346,1.07156,0.65527,0.67826,0.71026,0.48484,1.07311,0.82408,1.10119,0.006832,0.006832,0.006832
10,4417.94,1.09528,0.8767,1.0656,0.66263,0.69703,0.71539,0.49816,1.0596,0.79046,1.09414,0.006436,0.006436,0.006436
11,484.1,1.07722,0.85291,1.05711,0.6761,0.67897,0.7321,0.51943,1.03036,0.77279,1.07724,0.00604,0.00604,0.00604
12,1003.52,1.06725,0.83032,1.04971,0.70424,0.69378,0.74274,0.52351,1.02149,0.7518,1.06879,0.005644,0.005644,0.005644
13,1500.48,1.05032,0.81115,1.04392,0.73396,0.68673,0.75918,0.53871,1.01035,0.72605,1.06537,0.005248,0.005248,0.005248
14,2016.81,1.0361,0.789,1.0378,0.71483,0.71157,0.76797,0.54878,0.99995,0.71441,1.0528,0.004852,0.004852,0.004852
15,2522.79,1.02422,0.77503,1.0316,0.70535,0.72724,0.78775,0.5653,0.98738,0.69628,1.0479,0.004456,0.004456,0.004456
16,3065.4,1.02008,0.72674,1.0323,0.72016,0.72135,0.79398,0.565,0.98191,0.69292,1.04294,0.00406,0.00406,0.00406
17,3550.64,1.00498,0.70437,1.02108,0.731,0.71581,0.79014,0.56854,0.96663,0.67256,1.03301,0.003664,0.003664,0.003664
18,4037.28,0.98667,0.68624,1.01448,0.70504,0.75154,0.79483,0.57728,0.95874,0.66326,1.02806,0.003268,0.003268,0.003268
19,4539.57,0.97453,0.6684,1.00839,0.71114,0.75119,0.80595,0.58323,0.95027,0.6562,1.02359,0.002872,0.002872,0.002872
20,5777.36,0.96292,0.65066,1.00277,0.65726,0.80325,0.81127,0.58896,0.94591,0.64794,1.02044,0.002476,0.002476,0.002476
21,6223.67,0.94719,0.63387,0.99656,0.66388,0.80757,0.81521,0.59103,0.93984,0.63736,1.01577,0.00208,0.00208,0.00208
22,6651.81,0.93559,0.61917,0.99077,0.68121,0.80832,0.82168,0.59974,0.93412,0.62919,1.01288,0.001684,0.001684,0.001684
23,7085.27,0.92279,0.60369,0.98567,0.68982,0.80686,0.82071,0.59963,0.92984,0.62481,1.01058,0.001288,0.001288,0.001288
24,7524.94,0.90889,0.58765,0.97957,0.70198,0.80504,0.82051,0.60034,0.92614,0.62023,1.00807,0.000892,0.000892,0.000892
25,7961.99,0.89602,0.57335,0.9742,0.7107,0.80191,0.82506,0.60628,0.92361,0.61691,1.0067,0.000496,0.000496,0.000496
